34304,124382,1,63,0.0,1.0,Quarter
34304,124382,1,75,0.0,1.0,Quarter
20480,110558,1,48,0.0,0.375,Dotted Sixteenth
7680,122334,1,55,0.5,0.375,Dotted Sixteenth
15360,139742,1,65,1.0,1.0,Quarter
5119,129501,1,50,1.0,0.375,Dotted Sixteenth
15360,139742,1,77,1.0,1.0,Quarter
5120,138206,1,55,1.5,0.375,Dotted Sixteenth
6656,146398,1,51,2.0,0.375,Dotted Sixteenth
11264,151006,1,67,2.0,0.75,Dotted Eighth
11264,151006,1,79,2.0,0.75,Dotted Eighth
5120,153054,1,55,2.5,0.375,Dotted Sixteenth
5120,159198,1,51,3.0,0.5,Eighth
24576,178654,1,79,3.0,2.0,Half
24576,178654,1,67,3.0,2.0,Half
5120,164318,1,55,3.5,0.375,Dotted Sixteenth
7168,173022,1,60,4.0,0.375,Dotted Sixteenth
4096,178142,1,55,4.5,0.375,Dotted Sixteenth
7680,186334,1,50,5.0,0.5,Eighth
11264,189918,1,68,5.0,0.75,Dotted Eighth
11264,189918,1,80,5.0,0.75,Dotted Eighth
5120,191454,1,55,5.5,0.375,Dotted Sixteenth
26112,219102,1,67,6.0,2.0,Half
7679,200669,1,51,6.0,0.5,Eighth
26112,219102,1,79,6.0,2.0,Half
5121,205790,1,55,6.5,0.375,Dotted Sixteenth
3584,211422,1,60,7.0,0.375,Dotted Sixteenth
3072,216542,1,55,7.5,0.375,Dotted Sixteenth
6656,225758,1,48,8.0,0.5,Eighth
9216,228318,1,75,8.0,0.75,Dotted Eighth
9216,228318,1,63,8.0,0.75,Dotted Eighth
4096,229854,1,55,8.5,0.375,Dotted Sixteenth
5121,236510,1,53,9.0,0.375,Dotted Sixteenth
13312,244701,1,79,9.0,1.0,Quarter
13312,244701,1,67,9.0,1.0,Quarter
5120,243166,1,55,9.5,0.375,Dotted Sixteenth
12289,256990,1,81,10.0,1.0,Quarter
4609,249310,1,51,10.0,0.375,Dotted Sixteenth
12289,256990,1,69,10.0,1.0,Quarter
4096,255454,1,55,10.5,0.375,Dotted Sixteenth
8192,265182,1,83,11.0,0.75,Dotted Eighth
4608,261598,1,50,11.0,0.375,Dotted Sixteenth
8192,265182,1,71,11.0,0.75,Dotted Eighth
4096,266718,1,55,11.5,0.375,Dotted Sixteenth
12800,281566,1,84,12.0,1.0,Quarter
5120,273886,1,51,12.0,0.375,Dotted Sixteenth
12800,281566,1,72,12.0,1.0,Quarter
3584,279518,1,55,12.5,0.375,Dotted Sixteenth
13312,294878,1,85,13.0,1.0,Quarter
4096,285662,1,49,13.0,0.375,Dotted Sixteenth
13312,294878,1,73,13.0,1.0,Quarter
5120,292830,1,55,13.5,0.375,Dotted Sixteenth
4096,298974,1,48,14.0,0.375,Dotted Sixteenth
8704,303582,1,87,14.0,0.75,Dotted Eighth
8704,303582,1,75,14.0,0.75,Dotted Eighth
4608,305630,1,55,14.5,0.375,Dotted Sixteenth
24576,331742,1,75,15.0,2.0,Half
6144,313310,1,48,15.0,0.5,Eighth
24576,331742,1,87,15.0,2.0,Half
5120,318430,1,51,15.5,0.375,Dotted Sixteenth
3584,323550,1,56,16.0,0.375,Dotted Sixteenth
4608,329694,1,51,16.5,0.375,Dotted Sixteenth
11264,343006,1,89,17.0,0.75,Dotted Eighth
6656,338398,1,48,17.0,0.5,Eighth
11264,343006,1,77,17.0,0.75,Dotted Eighth
6144,344542,1,51,17.5,0.375,Dotted Sixteenth
6656,353246,1,46,18.0,0.5,Eighth
25600,372190,1,87,18.0,2.0,Half
25600,372190,1,75,18.0,2.0,Half
4608,357854,1,51,18.5,0.375,Dotted Sixteenth
5120,365022,1,55,19.0,0.375,Dotted Sixteenth
4608,371166,1,51,19.5,0.375,Dotted Sixteenth
8704,380894,1,70,20.0,0.75,Dotted Eighth
5120,377310,1,46,20.0,0.5,Eighth
8704,380894,1,82,20.0,0.75,Dotted Eighth
4608,381918,1,51,20.5,0.375,Dotted Sixteenth
5120,388062,1,44,21.0,0.375,Dotted Sixteenth
13823,396765,1,84,21.0,1.0,Quarter
13823,396765,1,72,21.0,1.0,Quarter
6144,395230,1,48,21.5,0.375,Dotted Sixteenth
10753,407518,1,88,22.0,1.0,Quarter
4609,401374,1,43,22.0,0.375,Dotted Sixteenth
10753,407518,1,76,22.0,1.0,Quarter
3072,405982,1,48,22.5,0.375,Dotted Sixteenth
6144,413662,1,41,23.0,0.375,Dotted Sixteenth
10239,417757,1,89,23.0,0.75,Dotted Eighth
10239,417757,1,77,23.0,0.75,Dotted Eighth
3584,418782,1,48,23.5,0.375,Dotted Sixteenth
